,user_id,item_id,ratings
1,AZPWAXJG9OJXV,5555991584,5.0
2,A38IRL0X2T4DPF,5555991584,5.0
3,A22IK3I6U76GX0,5555991584,5.0
4,A1AISPOIIHTHXX,5555991584,4.0
5,A2P49WD75WHAG5,5555991584,5.0
6,A3O90G1D7I5EGG,5555991584,3.0
7,A3EJYJC25OJVKK,5555991584,5.0
9,A33TRNCQK4IUO7,5555991584,5.0
10,AWY3EPKEOUV1W,5555991584,5.0
11,A1SCJWCMQ3W3KK,5555991584,4.0
12,A14BTJRH9VNLJJ,5555991584,5.0
13,A2AOZQ3WTNVVOK,5555991584,5.0
14,A1BXA3SM3AJOKL,5555991584,4.0
16,AHUT55E980RDR,5555991584,5.0
17,A24N1BAS3CU27H,5555991584,5.0
20,A3UBAZKS727Z0E,5555991584,5.0
21,A23H9KY3Q1YJ2N,5555991584,5.0
23,A1LQ1A8DNOTUKV,B0000000ZW,4.0
24,A1W3ZAKFIDGM13,B0000000ZW,5.0
25,A200C7YQJ45LRR,B0000000ZW,4.0
26,A3RNC9BGR4J1ZF,B0000000ZW,5.0
27,A268MFPSNVICJS,B0000000ZW,5.0
28,A1L8IB1K8ETJW9,B0000000ZW,3.0
30,A1X93ES4DITTWK,B0000000ZW,1.0
31,A1JXEJFPV9EUVS,B0000000ZW,3.0
32,A141XAG09QATRB,B0000000ZW,5.0
33,A3QZA3MXC75V4E,B0000000ZW,3.0
35,A3BLMCU4V5J2DX,B0000000ZW,5.0
37,AE9GUE3HHOX3U,B0000000ZW,5.0
38,A4BPK6TYITJS,B00000016T,5.0
39,A31KXTOQNTWUVM,B00000016T,5.0
41,AEUY86R8JQZWC,B00000016T,5.0
42,A3QEW0HMXQRWT9,B00000016T,5.0
43,A1O8U0FEBTGRJP,B00000016T,5.0
44,APOGXH3A74CM3,B00000016T,5.0
45,A1BW7LM8PQ7LO4,B00000016T,5.0
46,A250BI36M1IR26,B00000016T,5.0
48,A1M1PPER44S9AI,B00000016T,4.0
49,A8MWQY1R5YE3M,B00000016T,5.0
50,A10I9Y44HCRPG,B00000016T,2.0
52,A3T9IX8EDFDX4G,B00000016T,5.0
53,A38NQGQW63IQJJ,B00000016T,5.0
56,A2AOZQ3WTNVVOK,B00000016T,5.0
57,A275DIY2RW2YQS,B00000016T,5.0
58,A4VVYYB68NL4Z,B00000016T,4.0
59,APN6DO7VHDLTN,B00000016T,5.0
61,A1Z3DUZZ8IUFVY,B00000016T,5.0
63,A2TX79GR278JMA,B00000016T,5.0
64,A1U2T71CDVKFRH,B00000016T,5.0
65,A1LDAIGOQ6N4DW,B00000016T,5.0
66,A1BJJVV2B5VLUQ,B00000016T,5.0
67,AW3FTPCBPVQNB,B00000016T,5.0
69,A5KJVGJ43ZDC9,B00000016T,5.0
71,A1FFPPPIOSI36M,B00000016T,4.0
72,A22N03OBDDVSEB,B00000016T,5.0
73,A2SF8H9HGK194L,B00000016T,5.0
74,A1XVYE0A34BDKR,B00000016T,5.0
75,A23Q1T4MXZHFM7,B00000016T,5.0
76,A1OML05BTJBEKS,B00000016T,5.0
78,A3464G00K8ZYD1,B00000016T,5.0
79,A3KJ6JAZPH382D,B00000016T,5.0
80,A23LCEFE2BWE5F,B00000016T,5.0
81,A3SFN7ECK78CEV,B00000016T,5.0
82,AFEN54UGJQOK9,B00000016T,5.0
83,A4UKBG3M5U5TI,B00000016T,5.0
84,A29ZFGK1WJZ873,B00000016T,5.0
85,A1C0C9IJO2HS03,B00000016W,5.0
86,A22N9H8V0RYQR3,B00000016W,1.0
89,A252HNVAZENVNE,B00000016W,5.0
90,A1IKOYZVFHO1XP,B00000016W,5.0
91,A3A3M74WE0YYPS,B00000016W,5.0
92,A1Q02WFA087CTF,B00000016W,5.0
93,A1534MBU6VJXYN,B00000016W,5.0
94,A33L1SEOXFGL44,B00000016W,1.0
95,AH1KJ45IQTM4T,B00000016W,1.0
96,A31HTN51QNSQ3F,B00000016W,5.0
97,A1V1H3JX5VAMCS,B00000016W,5.0
98,A1AJR4BFQ5AW68,B00000016W,5.0
100,A2UO10VW2BLHUM,B00000016W,5.0
101,A2KBD1LU5OPMNH,B00000016W,5.0
102,A1MXPWDS7SVQN1,B00000016W,5.0
103,AE5F46Q10VPCE,B00000016W,5.0
104,A38IRL0X2T4DPF,B00000016W,3.0
105,A36RS7KTNOBROF,B00000016W,5.0
106,A1X4ASH2JYVK9P,B00000016W,5.0
107,AFHEGYXMK6HCL,B00000016W,5.0
108,A3M1PB13ZBJ3E3,B00000016W,5.0
109,A3G10NPD661EQD,B00000016W,5.0
110,A23MZ5EULW2GHH,B00000016W,5.0
112,A32EDSKLEUZ3Y7,B00000016W,5.0
113,A3GHQ2D2Q1DGQC,B00000016W,5.0
115,A27CFNHYZG6WS8,B00000016W,5.0
116,A1906RZITWT2K2,B00000016W,5.0
117,A1RX5ERL0QIZ3U,B00000016W,5.0
119,A19163222SFFGR,B00000016W,5.0
121,A3VT7VGDWCIYYQ,B00000016W,3.0
122,A8CYS17WU9V1K,B00000016W,5.0
123,A3CFORW4TMX9U,B00000016W,5.0
126,A13E0ARAXI6KJW,B00000016W,5.0
128,A2B4IFORHECQ8Y,B00000016W,5.0
129,AXFI7TAWD6H6X,B00000016W,5.0
130,AQMY8L2EONMXO,B00000016W,5.0
131,AZ35DRA4V3Q3T,B00000016W,5.0
132,A26NLSTT75FMJM,B00000016W,3.0
133,A2C7BOQVFH1HLE,B00000016W,4.0
134,A2BO41VARYGTAC,B00000016W,5.0
